Account,Coin,Execution Price,Size Tokens,Size USD,Side,Timestamp IST,Start Position,Direction,Closed PnL,Transaction Hash,Order ID,Crossed,Fee,Trade ID,Timestamp,time,date
0x513b8629fe877bb581bf244e326a047b249c4ff1,@107,12.487,38.15,476.38,BUY,09-12-2024 21:24,3635.947913,Buy,0.0,0xa84c92e64cc563e6955a0418d15ca901dd008956556a77600508d12277bdebee,53944564920,True,0.01281829,814000000000000.0,1730000000000.0,2024-10-27 03:33:20,2024-10-27
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,LINK,16.656,46.9,781.17,SELL,07-03-2025 00:27,92.0,Close Long,52.966515,0x907a2022378bddb01999041f0934f0013500d9723466bd3fe688130090e441d8,77731677828,True,0.262471,835000000000000.0,1740000000000.0,2025-02-19 21:20:00,2025-02-19
0xbaaaf6571ab7d571043ff1e313a9609a10637864,HYPE,11.664,1.78,20.76,SELL,04-04-2025 19:24,5451.95,Close Long,0.871132,0xa2f1aa45928bf5526b120420e4765202043000293030ff4d2abb031b9428b410,83921650126,True,0.006228,819000000000000.0,1740000000000.0,2025-02-19 21:20:00,2025-02-19
0x4f93fead39b70a1824f981a54d4e55b278e9f760,BTC,99820.0,0.02761,2756.03,BUY,07-01-2025 20:34,1.45837,Open Long,0.0,0x633d0002832de00308a1041ae331ed0201eb00d9942ef4aab677b8098fa6cf35,61176679121,True,0.96461,842000000000000.0,1740000000000.0,2025-02-19 21:20:00,2025-02-19
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,DOGE,0.15863,23070.0,3659.59,BUY,04-03-2024 10:21,-23070.0,Close Short,156.6453,0x37b5f20d3e1b6b5702350407e2c71c02018600ce2965fc98a95f0e005bc171be,11910325135,False,-0.073191,759000000000000.0,1710000000000.0,2024-03-09 16:00:00,2024-03-09
0x8170715b3b381dffb7062c0298972d4727a0a63b,BTC,82300.0,0.00018,14.81,SELL,10-04-2025 00:22,6.2771,Close Long,0.375966,0xc8412c22b57bf925387f042139f23e01d600940c7822eee695ce2d7976c9d154,85401155832,False,0.001421,494000000000000.0,1740000000000.0,2025-02-19 21:20:00,2025-02-19
0xb899e522b5715391ae1d4f137653e7906c5e2115,SOL,137.44,42.77,5878.31,BUY,09-03-2025 08:13,-3390.89,Close Short,33.202351,0xd168d0f0d66c27e1dfa5041f2f62640150006c54f933ff7ac3978f6694562b42,78301719619,False,0.0,171000000000000.0,1740000000000.0,2025-02-19 21:20:00,2025-02-19
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,HYPE,24.48,103.98,2545.43,BUY,22-02-2025 23:11,999.5,Open Long,0.0,0x4c044ede449d90074f33041e43232602016800d850e41337b027046013b5e7a1,74137299187,False,0.254543,13600000000000.0,1740000000000.0,2025-02-19 21:20:00,2025-02-19
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,FARTCOIN,0.44841,2787.9,1250.12,SELL,04-04-2025 20:11,-13947.4,Open Short,0.0,0xcad1d0393a849a186de90420e4fe600201a900c93804766862780f80a61c421d,83937306482,True,0.437542,854000000000000.0,1740000000000.0,2025-02-19 21:20:00,2025-02-19
0x8477e447846c758f5a675856001ea72298fd9cb5,BTC,94073.0,0.03012,2833.48,SELL,23-04-2025 13:28,-1.88556,Open Short,0.0,0x14e7ce317489afd01c7d0422156fa50204e600a9dfe6b309cb09a15142692dca,88246603277,True,0.991717,289000000000000.0,1750000000000.0,2025-06-15 15:06:40,2025-06-15
0x4f93fead39b70a1824f981a54d4e55b278e9f760,BTC,92848.0,0.02183,2026.87,BUY,10-01-2025 19:09,6.49022,Open Long,0.0,0x6a82172758b02cb6c225041b204b460201cd009470de01a980346835cef1544a,62057534711,True,0.608061,834000000000000.0,1740000000000.0,2025-02-19 21:20:00,2025-02-19
0x420ab45e0bd8863569a5efbb9c05d91f40624641,BTC,84775.0,0.25,21193.75,SELL,19-03-2025 23:30,-3.26966,Open Short,0.0,0x4501f0debeec453dbe58041fdf3b6701510021e820404d814e44628ef4fb64a3,80768053780,False,2.0346,383000000000000.0,1740000000000.0,2025-02-19 21:20:00,2025-02-19
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,SOL,187.56,2.89,542.05,BUY,15-01-2025 02:50,-5.9,Close Short,10.327126,0x0d7058144018065df33b041b774f8f01e500f73fa37cc17c032ceb33f5434319,63054124331,True,0.182127,299000000000000.0,1740000000000.0,2025-02-19 21:20:00,2025-02-19
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,@107,13.62,71.39,972.33,BUY,10-12-2024 20:57,43064.45528,Buy,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,54242614653,False,0.0,1030000000000000.0,1730000000000.0,2024-10-27 03:33:20,2024-10-27
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,HYPE,24.878,74.18,1845.45,SELL,21-02-2025 11:03,-16445.55,Open Short,0.0,0x7f482daad38d5e152d92041e2acce201e1009a275feb2d3998134b1ed98324a8,73785382732,True,0.645907,848000000000000.0,1740000000000.0,2025-02-19 21:20:00,2025-02-19
0x8170715b3b381dffb7062c0298972d4727a0a63b,ME,1.2,27.8,33.36,BUY,03-02-2025 09:55,-28195.5,Close Short,18.947368,0x567f106e81cc592d8d3d041d095d830203ac0059186029be2cbcc18ea83ffff7,68815567495,False,0.003202,624000000000000.0,1740000000000.0,2025-02-19 21:20:00,2025-02-19
0x4f93fead39b70a1824f981a54d4e55b278e9f760,ETH,2972.5,0.2015,598.96,SELL,13-05-2024 13:33,-3.4029,Open Short,0.0,0x2566260bd2fc5b51ef690408f097ae015100e8f02e29f00e430dc47e5047f1a6,22344999714,True,0.209635,557000000000000.0,1720000000000.0,2024-07-03 09:46:40,2024-07-03
0xb899e522b5715391ae1d4f137653e7906c5e2115,SOL,124.97,473.65,59192.04,BUY,10-03-2025 06:03,3251.91,Open Long,0.0,0xb64349f0645bc0e67690041f3e6f400204bd00a4491c4bcfdec996aa6e4c5883,78533200696,True,14.79801,499000000000000.0,1740000000000.0,2025-02-19 21:20:00,2025-02-19
0x4f93fead39b70a1824f981a54d4e55b278e9f760,ETH,3533.1,0.7596,2683.74,SELL,19-06-2024 14:17,0.7596,Close Long,28.857204,0x2b73459a298a373c20ef040bd1b1cf01e400accf5fceb62ed337b8b7ce9fdfcb,26725087963,True,0.939309,1020000000000000.0,1720000000000.0,2024-07-03 09:46:40,2024-07-03
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,@107,26.2,51.52,1349.82,BUY,18-12-2024 18:41,41734.42944,Buy,0.0,0x815e18dc567495c338d40419896eb001d500018611eb72c0124d813d28e344f4,56262778862,False,0.00257599,376000000000000.0,1730000000000.0,2024-10-27 03:33:20,2024-10-27
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,BTC,99041.0,0.04138,4098.32,BUY,07-02-2025 20:32,0.03826,Open Long,0.0,0x7c5cfc792925d358384c041d514f4b020289002ea3db2e2685e5ab9a52c54c45,70470306933,False,0.409831,740000000000000.0,1740000000000.0,2025-02-19 21:20:00,2025-02-19
